run,subrun,event,x,y,z
5099,43,2168,40.6184,0.0,213.6
5099,83,4171,48.9204,0.0,845.7
5100,4,211,139.016,0.0,510.9
5102,11,597,228.666,0.0,963.9
5102,14,749,207.995,0.0,644.1
5102,15,779,165.705,0.0,456
5102,22,1144,263.602,0.0,392.4
5102,52,2650,85.9171,0.0,128.1
5103,22,1148,220.922,0.0,324.3
5103,24,1235,82.964,0.0,579.9
5104,10,522,16.6039,0.0,885.6
5104,11,584,30.4777,0.0,356.1
5104,12,609,139.295,0.0,182.7
5104,13,694,25.4631,0.0,526.8
5105,0,45,71.7647,0.0,156
5106,7,375,210.67,0.0,169.5
5106,24,1223,23.5687,0.0,615.6
5106,33,1698,90.7088,0.0,515.4
5106,76,3846,250.396,0.0,631.2
5106,80,4010,191.113,0.0,770.7
5106,130,6518,86.0842,0.0,158.7
5106,136,6819,97.1164,0.0,649.5
5106,160,8037,96.4478,0.0,65.4
5106,161,8097,114.668,0.0,510
5106,169,8462,42.8471,0.0,181.5
5108,16,804,47.8617,0.0,964.8
5108,20,1011,27.1346,0.0,210.9
5108,29,1457,77.8937,0.0,438.6
5108,78,3917,217.634,0.0,615.3
5108,105,5293,15.601,0.0,454.2
5108,111,5568,198.69,0.0,942.3
5108,117,5857,263.769,0.0,749.4
5108,117,5893,192.561,0.0,956.1
5109,14,723,38.8354,0.0,567.3
5109,14,739,193.23,0.0,381.6
5109,15,790,53.6564,0.0,368.1
5109,15,796,98.2307,0.0,519.9
5110,30,1517,208.441,0.0,225
5110,39,1967,10.1964,0.0,793.8
5110,43,2151,177.907,0.0,472.8
5110,43,2186,51.8734,0.0,148.8
5110,44,2234,113.163,0.0,471.6
5110,44,2235,210.335,0.0,622.8
5110,45,2292,183.089,0.0,584.4
5110,46,2307,120.016,0.0,132.9
5110,47,2394,158.183,0.0,792
5110,77,3874,213.678,0.0,931.5
5110,78,3942,231.619,0.0,307.8
5110,80,4040,224.933,0.0,203.4
5110,81,4053,133.89,0.0,526.5
5110,83,4193,212.341,0.0,771
5110,83,4200,82.8526,0.0,1002.6
5110,84,4220,145.48,0.0,692.1
5110,84,4248,62.8498,0.0,324
5111,6,312,23.513,0.0,563.4
5111,6,314,32.9293,0.0,567
5111,9,471,211.45,0.0,454.5
5111,21,1056,116.562,0.0,484.5
5111,27,1363,269.842,0.0,510.9
5111,27,1383,213.288,0.0,489.6
5111,27,1392,240.813,0.0,693
5111,27,1393,54.2136,0.0,48.3
5111,29,1456,34.6008,0.0,742.2
5111,30,1518,151.386,0.0,456
5121,2,140,229.391,0.0,516
